Viral coefficient,Cycle time,Retention rate,Resurrection rate,New,Active,Lost
0.7825784997168636,11.190712599185744,0.15,0.0067044103892481095,11,823.0,981.0
0.7855098093758688,11.159836291285183,0.15,0.006720847211004115,11,831.0,984.0
0.7884622958435081,11.129113979612725,0.15,0.006737202053769605,11,839.0,987.0
0.7914359881782322,11.098544896108987,0.15,0.006753475326416503,11,847.0,990.0
0.7944309136922989,11.068128276545282,0.15,0.0067696674357774714,11,855.0,993.0
0.7974470979302593,11.03786336050454,0.15,0.006785778786656087,11,863.0,996.0
0.8004845646475056,11.007749391362282,0.15,0.006801809781836962,11,871.0,999.0
0.8035433357888866,10.977785616267713,0.15,0.006817760822095809,11,879.0,1002.0
0.8066234314673959,10.947971286124893,0.15,0.0068336323062094684,11,887.0,1005.0
0.8097248699429376,10.918305655574017,0.15,0.006849424630965867,11,896.0,1007.0
0.8128476676011733,10.888787982972776,0.15,0.006865138191173948,11,905.0,1009.0
0.8159918389324574,10.859417530377815,0.15,0.006880773379673533,11,914.0,1011.0
0.8191573965108634,10.830193563526294,0.15,0.006896330587345151,11,923.0,1013.0
0.822344350973308,10.801115351817518,0.15,0.006911810203119801,11,932.0,1015.0
0.8255527109987768,10.772182168294677,0.15,0.006927212613988688,11,941.0,1017.0
0.8287824832876565,10.743393289626681,0.15,0.006942538205012883,11,950.0,1019.0
0.8320336725411809,10.714747996090058,0.15,0.006957787359332959,11,959.0,1021.0
0.8353062814409921,10.686245571550982,0.15,0.006972960458178572,11,968.0,1023.0
0.8386003106288253,10.657885303447355,0.15,0.006988057880877979,11,977.0,1025.0
0.8419157586863208,10.629666482770993,0.15,0.007003080004867537,11,986.0,1027.0
0.8452526221149679,10.601588404049913,0.15,0.007018027205701126,11,995.0,1029.0
0.8486108953161875,10.573650365330685,0.15,0.007032899857059547,11,1004.0,1031.0
0.8519905705715567,10.545851668160886,0.15,0.0070476983307598585,11,1013.0,1033.0
0.8553916380231826,10.518191617571635,0.15,0.007062422996764673,11,1022.0,1035.0
0.8588140856542288,10.49066952206023,0.15,0.007077074223191406,11,1031.0,1037.0
0.8622578992696,10.463284693572849,0.15,0.007091652376321485,11,1040.0,1039.0
0.8657230624767915,10.436036447487353,0.15,0.0071061578206094945,11,1049.0,1041.0
0.8692095566669085,10.408924102596174,0.15,0.007120590918692298,11,1058.0,1043.0
0.8727173609958563,10.381946981089275,0.15,0.007134952031398099,11,1067.0,1045.0
0.8762464523657154,10.355104408537212,0.15,0.007149241517755465,11,1076.0,1047.0
0.879796805406297,10.328395713874272,0.15,0.007163459735002296,11,1085.0,1049.0
0.883368392456892,10.301820229381702,0.15,0.007177607038594767,11,1094.0,1051.0
0.8869611835482141,10.275377290671004,0.15,0.007191683782216202,11,1103.0,1053.0
0.8905751463845435,10.24906623666733,0.15,0.007205690317785927,11,1112.0,1055.0
0.8942102463260796,10.222886409592963,0.15,0.0072196269954680585,11,1121.0,1057.0
0.8978664463715013,10.196837154950861,0.15,0.007233494163680266,11,1130.0,1059.0
0.9015437071407483,10.170917821508302,0.15,0.007247292169102477,11,1139.0,1061.0
0.905241986858022,10.1451277612806,0.15,0.007261021356685545,11,1148.0,1063.0
0.9089612413350154,10.119466329514905,0.15,0.007274682069659874,11,1157.0,1065.0
0.9127014239543761,10.093932884674086,0.15,0.007288274649544001,11,1166.0,1067.0
